Date,MOATS,Treatment,Time,Temp,Sensor,actualDOmg,Period
10/23/19,6,HighTemp,9:17,13.08,MOATS,5.675,day
10/23/19,7,Current,9:15,11.08,MOATS,6.039,day
10/23/19,8,AllChange,9:17,13.05,MOATS,4.929,day
10/23/19,10,Current,9:18,11.12,MOATS,6.837,day
10/23/19,12,Current,9:16,11.02,MOATS,5.803,day
10/23/19,13,AllChange,9:20,13.09,MOATS,4.925,day
10/23/19,1,HighTemp,9:18,13.14,PreSens,6.5,day
10/23/19,2,AllChange,9:19,12.98,PreSens,6.51,day
10/23/19,3,Current,9:19,13.36,PreSens,7.1,day
10/23/19,4,Ambient,9:17,13.38,PreSens,8.89,day
10/23/19,5,Ambient,9:17,13.38,PreSens,9,day
10/23/19,6,HighTemp,9:17,13.08,PreSens,6.99,day
10/23/19,7,Current,9:15,11.08,PreSens,6.77,day
10/23/19,8,AllChange,9:17,13.05,PreSens,6.33,day
10/23/19,10,Current,9:18,11.12,PreSens,7.7,day
10/23/19,12,Current,9:16,11.02,PreSens,7.38,day
10/23/19,13,AllChange,9:20,13.09,PreSens,6.08,day
10/28/19,2,AllChange,8:36,13.8,MOATS,7.804,day
10/28/19,3,Current,8:37,11,MOATS,5.646,day
10/28/19,6,HighTemp,8:39,12.66,MOATS,5.236,day
10/28/19,8,AllChange,8:37,12.85,MOATS,4.235,day
10/28/19,12,Current,8:38,11.03,MOATS,5.561,day
10/28/19,2,AllChange,8:36,13.8,PreSens,8.32,day
10/28/19,3,Current,8:37,11,PreSens,7.51,day
10/28/19,6,HighTemp,8:39,12.66,PreSens,6.32,day
10/28/19,8,AllChange,8:37,12.85,PreSens,6.08,day
10/28/19,12,Current,8:38,11.03,PreSens,6.76,day
10/29/19,1,HighTemp,9:22,12.64,MOATS,5.236,day
10/29/19,5,Ambient,9:25,13.8,MOATS,8.485,day
10/29/19,7,Current,9:23,10.26,MOATS,5.561,day
10/29/19,13,AllChange,9:25,14.14,MOATS,7.804,day
10/29/19,1,HighTemp,9:22,12.64,PreSens,5.88,day
10/29/19,5,Ambient,9:25,13.8,PreSens,7.82,day
10/29/19,7,Current,9:23,10.26,PreSens,7.12,day
10/29/19,13,AllChange,9:25,14.14,PreSens,7.52,day
