"","treatment","period","sd","mean","median","IQR","n","se","ci"
"1","allchange","D2Nramp",0.0239093603380964,7.57355238704819,7.574293,0.0293971250000009,166,0.00185572625957157,0.00363722346876027
"2","allchange","day",0.0299651372772876,7.53294495085381,7.52721125,0.0311669375000001,4802,0.000432419423835833,0.000847542070718233
"3","allchange","night",0.0213721525341955,7.56178977726953,7.562601875,0.0319006874999994,2842,0.000400900158828441,0.000785764311303744
"4","current","D2Nramp",0.0333685675644599,7.70887111666667,7.7186095,0.0272937500000001,135,0.00287190903253222,0.00562894170376316
"5","current","day",0.0358109531314293,7.65677955637828,7.65219375,0.0255252500000003,3849,0.000577220736539273,0.00113135264361697
"6","current","night",0.04413972650608,7.70455575776805,7.7163225,0.0269644999999992,2285,0.000923392910160454,0.00180985010391449
"7","hightemperature","D2Nramp",0.0201693129305174,7.71780216569767,7.720068625,0.0171746875000007,86,0.00217491294690566,0.00426282937593509
"8","hightemperature","day",0.0308662514311563,7.66141159119678,7.65717825,0.0279262500000002,2607,0.000604523758707079,0.00118486656706588
"9","hightemperature","night",0.0182513096298712,7.72412940972685,7.72807,0.0151147499999995,1501,0.000471089784521202,0.000923335977661555
