Date,MOATS,treatment,Time,Temp,Sensor,actualDOmg,Period
9/30/19,2,allchange,15:34,13.79,MOATS,8.628,night
9/30/19,8,allchange,16:02,13.86,MOATS,8.447,night
9/30/19,13,allchange,16:23,13.8,MOATS,8.677,night
10/1/19,7,current,18:18,12.02,MOATS,9.032,night
10/1/19,10,current,18:13,12.01,MOATS,9.162,night
10/1/19,12,current,18:13,12.01,MOATS,9.024,night
10/1/19,1,hightemperature,16:56,13.9,MOATS,8.757,night
10/1/19,3,current,17:01,11.84,MOATS,8.877,night
10/1/19,4,Ambient,17:01,12.02,MOATS,9.03,night
10/1/19,5,allchange,17:07,12.02,MOATS,8.56,night
10/1/19,6,hightemperature,17:02,13.88,MOATS,8.088,night
9/30/19,2,allchange,15:34,13.79,PreSens,6.54,night
9/30/19,8,allchange,16:02,13.86,PreSens,7.15,night
9/30/19,13,allchange,16:23,13.8,PreSens,7.63,night
10/1/19,7,current,18:18,12.02,PreSens,7.3,night
10/1/19,10,current,18:13,12.01,PreSens,8.05,night
10/1/19,12,current,18:13,12.01,PreSens,8.42,night
10/1/19,1,hightemperature,16:56,13.9,PreSens,6.87,night
10/1/19,3,current,17:01,11.84,PreSens,8.41,night
10/1/19,4,Ambient,17:01,12.02,PreSens,9.05,night
10/1/19,5,allchange,17:07,12.02,PreSens,8.35,night
10/1/19,6,hightemperature,17:02,13.88,PreSens,7.72,night
10/4/19,1,hightemperature,12:38,15.85,MOATS,8.496,night
10/4/19,2,allchange,12:45,14.89,MOATS,8.096,night
10/4/19,3,current,12:55,11.77,MOATS,8.989,night
10/4/19,4,Ambient,13:03,12.17,MOATS,8.979,night
10/4/19,5,Ambient,13:07,14.16,MOATS,8.151,night
10/4/19,6,hightemperature,13:12,14.16,MOATS,8.739,night
10/4/19,7,current,13:21,12.08,MOATS,8.892,night
10/4/19,8,allchange,13:27,14.43,MOATS,8.385,night
10/4/19,10,current,13:36,12.06,MOATS,9.072,night
10/4/19,11,hightemperature,13:43,13.95,MOATS,9.192,night
10/4/19,12,current,13:47,12.1,MOATS,9.116,night
10/4/19,13,allchange,13:53,15.18,MOATS,8.554,night
10/4/19,1,hightemperature,12:38,15.85,PreSens,7.14,night
10/4/19,2,allchange,12:45,14.89,PreSens,7.03,night
10/4/19,3,current,12:55,11.77,PreSens,7.72,night
10/4/19,4,Ambient,13:03,12.17,PreSens,8.65,night
10/4/19,5,Ambient,13:07,14.16,PreSens,8.82,night
10/4/19,6,hightemperature,13:12,14.16,PreSens,6.93,night
10/4/19,7,current,13:21,12.08,PreSens,7.35,night
10/4/19,8,allchange,13:27,14.43,PreSens,6.62,night
10/4/19,10,current,13:36,12.06,PreSens,7.64,night
10/4/19,11,hightemperature,13:43,13.95,PreSens,8.39,night
10/4/19,12,current,13:47,12.1,PreSens,8.03,night
10/4/19,13,allchange,13:53,15.18,PreSens,6.77,night
10/8/19,1,hightemperature,15:35,13.82,MOATS,8.888,night
10/8/19,2,allchange,15:22,14.05,MOATS,8.63,night
10/8/19,3,current,15:13,11.91,MOATS,8.989,night
10/8/19,4,Ambient,15:08,11.56,MOATS,8.99,night
10/8/19,5,Ambient,14:57,11.95,MOATS,8.08,night
10/8/19,6,hightemperature,14:47,13.89,MOATS,8.783,night
10/8/19,7,current,14:42,12.01,MOATS,9.008,night
10/8/19,8,allchange,14:33,14.01,MOATS,8.513,night
10/8/19,10,current,14:26,12.09,MOATS,8.821,night
10/8/19,11,hightemperature,14:17,14.05,MOATS,9.147,night
10/8/19,12,current,14:11,11.63,MOATS,9.092,night
10/8/19,13,allchange,14:04,13.98,MOATS,8.567,night
10/8/19,1,hightemperature,15:35,13.82,PreSens,8.48,night
10/8/19,2,allchange,15:22,14.05,PreSens,8.61,night
10/8/19,3,current,15:13,11.91,PreSens,8.28,night
10/8/19,4,Ambient,15:08,11.56,PreSens,9.28,night
10/8/19,5,Ambient,14:57,11.95,PreSens,9.11,night
10/8/19,6,hightemperature,14:47,13.89,PreSens,7.87,night
10/8/19,7,current,14:42,12.01,PreSens,8.37,night
10/8/19,8,allchange,14:33,14.01,PreSens,7.88,night
10/8/19,10,current,14:26,12.09,PreSens,8.59,night
10/8/19,11,hightemperature,14:17,14.05,PreSens,8.65,night
10/8/19,12,current,14:11,11.63,PreSens,9.05,night
10/8/19,13,allchange,14:04,13.98,PreSens,7.78,night
10/9/19,1,hightemperature,15:44,14.16,MOATS,8.885,night
10/9/19,6,hightemperature,15:46,14.51,MOATS,8.803,night
10/9/19,1,hightemperature,15:44,14.16,PreSens,8.11,night
10/9/19,6,hightemperature,15:46,14.51,PreSens,7.97,night
10/17/19,3,current,15:10,11.82,MOATS,8.873,night
10/17/19,4,Ambient,15:12,11.7,MOATS,8.447,night
10/17/19,5,Ambient,15:12,11.7,MOATS,8.63,night
10/17/19,7,current,15:13,11.98,MOATS,8.799,night
10/17/19,10,current,15:13,12.05,MOATS,9.079,night
10/17/19,12,current,15:14,11.76,MOATS,8.885,night
10/17/19,3,current,15:10,11.82,PreSens,8.54,night
10/17/19,4,Ambient,15:12,11.7,PreSens,9.66,night
10/17/19,5,Ambient,15:12,11.7,PreSens,9.22,night
10/17/19,7,current,15:13,11.98,PreSens,8.39,night
10/17/19,10,current,15:13,12.05,PreSens,8.69,night
10/17/19,12,current,15:14,11.76,PreSens,8.18,night
10/18/19,1,hightemperature,13:42,13.67,MOATS,8.558,night
10/18/19,2,allchange,13:43,13.67,MOATS,7.142,night
10/18/19,3,current,13:42,12.01,MOATS,8.768,night
10/18/19,4,Ambient,13:43,12.01,MOATS,8.768,night
10/18/19,5,Ambient,13:43,12.01,MOATS,8.136,night
10/18/19,6,hightemperature,13:45,13.02,MOATS,8.521,night
10/18/19,7,current,13:45,10.84,MOATS,4.757,night
10/18/19,8,allchange,13:47,13.95,MOATS,8.19,night
10/18/19,10,current,13:48,11.42,MOATS,7.781,night
10/18/19,12,current,13:49,11.02,MOATS,9.121,night
10/18/19,13,allchange,13:49,12.93,MOATS,8.027,night
10/18/19,1,hightemperature,13:42,13.67,PreSens,6.61,night
10/18/19,2,allchange,13:43,13.67,PreSens,7.45,night
10/18/19,3,current,13:42,12.01,PreSens,8.19,night
10/18/19,4,Ambient,13:43,12.01,PreSens,8.47,night
10/18/19,5,Ambient,13:43,12.01,PreSens,8.5,night
10/18/19,6,hightemperature,13:45,13.02,PreSens,7.42,night
10/18/19,7,current,13:45,10.84,PreSens,8.04,night
10/18/19,8,allchange,13:47,13.95,PreSens,7.14,night
10/18/19,10,current,13:48,11.42,PreSens,8.47,night
10/18/19,12,current,13:49,11.02,PreSens,8.66,night
10/18/19,13,allchange,13:49,12.93,PreSens,7.38,night
10/2/19,1,hightemperature,8:31,12.58,MOATS,5.331,day
10/2/19,4,Ambient,8:33,10.4,MOATS,9.338,day
10/2/19,5,Ambient,8:35,10.4,MOATS,9.338,day
10/2/19,6,hightemperature,8:36,12.82,MOATS,5.309,day
10/2/19,3,current,9:20,10.95,MOATS,5.964,day
10/2/19,7,current,9:25,10.93,MOATS,5.299,day
10/2/19,10,current,9:28,10.94,MOATS,5.48,day
10/2/19,12,current,9:30,10.77,MOATS,5.398,day
10/2/19,1,hightemperature,8:31,12.58,PreSens,5.55,day
10/2/19,4,Ambient,8:33,10.4,PreSens,8.96,day
10/2/19,5,Ambient,8:35,10.4,PreSens,8.96,day
10/2/19,6,hightemperature,8:36,12.82,PreSens,5.91,day
10/2/19,3,current,9:20,10.95,PreSens,6.29,day
10/2/19,7,current,9:25,10.93,PreSens,5.81,day
10/2/19,10,current,9:28,10.94,PreSens,6.01,day
10/2/19,12,current,9:30,10.77,PreSens,6.31,day
10/4/19,1,hightemperature,8:10,12.63,MOATS,5.328,day
10/4/19,2,allchange,8:30,12.89,MOATS,4.46,day
10/4/19,3,current,9:31,11.03,MOATS,5.737,day
10/4/19,4,Ambient,9:44,11.37,MOATS,9.158,day
10/4/19,5,Ambient,9:48,11.6,MOATS,8.278,day
10/4/19,6,hightemperature,8:20,12.92,MOATS,5.573,day
10/4/19,7,current,9:24,11.03,MOATS,5.51,day
10/4/19,8,allchange,8:40,12.88,MOATS,4.42,day
10/4/19,10,current,9:05,11.04,MOATS,5.627,day
10/4/19,11,hightemperature,9:56,12.92,MOATS,9.04,day
10/4/19,12,current,8:58,11.07,MOATS,5.5,day
10/4/19,13,allchange,8:50,12.71,MOATS,4.4,day
10/4/19,1,hightemperature,8:10,12.63,PreSens,5.26,day
10/4/19,2,allchange,8:30,12.89,PreSens,4.94,day
10/4/19,3,current,9:31,11.03,PreSens,5.86,day
10/4/19,4,Ambient,9:44,11.37,PreSens,8.78,day
10/4/19,5,Ambient,9:48,11.6,PreSens,8.89,day
10/4/19,6,hightemperature,8:20,12.92,PreSens,5.72,day
10/4/19,7,current,9:24,11.03,PreSens,5.98,day
10/4/19,8,allchange,8:40,12.88,PreSens,4.62,day
10/4/19,10,current,9:05,11.04,PreSens,5.98,day
10/4/19,11,hightemperature,9:56,12.92,PreSens,9.04,day
10/4/19,12,current,8:58,11.07,PreSens,5.61,day
10/4/19,13,allchange,8:50,12.71,PreSens,4.68,day
10/7/19,1,hightemperature,8:25,12.71,MOATS,5.354,day
10/7/19,2,allchange,8:36,12.9,MOATS,4.371,day
10/7/19,3,current,8:46,10.96,MOATS,5.3,day
10/7/19,4,Ambient,10:10,11.85,MOATS,9.021,day
10/7/19,5,Ambient,10:15,12,MOATS,8.116,day
10/7/19,6,hightemperature,8:55,12.91,MOATS,5.477,day
10/7/19,7,current,9:05,11.19,MOATS,5.474,day
10/7/19,8,allchange,9:15,12.88,MOATS,4.372,day
10/7/19,10,current,9:27,11.1,MOATS,5.455,day
10/7/19,11,hightemperature,10:05,12.94,MOATS,8.45,day
10/7/19,12,current,9:37,10.97,MOATS,5.449,day
10/7/19,13,allchange,9:47,12.9,MOATS,4.45,day
10/7/19,1,hightemperature,8:25,12.71,PreSens,5.38,day
10/7/19,2,allchange,8:36,12.9,PreSens,5.15,day
10/7/19,3,current,8:46,10.96,PreSens,6.14,day
10/7/19,4,Ambient,10:10,11.85,PreSens,8.65,day
10/7/19,5,Ambient,10:15,12,PreSens,8.64,day
10/7/19,6,hightemperature,8:55,12.91,PreSens,5.63,day
10/7/19,7,current,9:05,11.19,PreSens,5.36,day
10/7/19,8,allchange,9:15,12.88,PreSens,4.49,day
