"","treatment","period","sd","mean","median","IQR","n","se","ci"
"1","allchange","day",1.20871321896405,5.51746808510638,4.998,1.585,48,0.174462725585488,0.341946942147556
"2","allchange","night",0.71504259526512,7.8265,7.9535,1.37525,24,0.145957458562915,0.286076618783313
"3","current","day",1.03205805484548,6.30766666666667,5.915,1.26925,38,0.167421924346484,0.328146971719108
"4","current","night",0.881813315270588,8.42903333333333,8.675,0.9475,30,0.160996348094039,0.315552842264316
"5","hightemperature","day",0.500400533121606,5.798875,5.6525,0.8245,32,0.0884591525699127,0.173379939037029
"6","hightemperature","night",0.740549220084946,8.0819,8.295,1.0985,20,0.165591839679439,0.324560005771701
